image,width,height,left,top,right,bottom,question
https://toloka-cdn.azureedge.net/wsdmcup2023/000000001093.jpg,500,347,409,172,432,206,Which is different from the group?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000001964.jpg,640,480,161,181,569,367,What do we drive for personal use?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000002473.jpg,640,427,286,217,327,266,What do we use to slide on snow?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000003379.jpg,640,438,213,365,299,388,What is the thing that can give command to the computer
https://toloka-cdn.azureedge.net/wsdmcup2023/000000004175.jpg,640,481,260,190,428,275,what thing denotes the border between two tennis-player?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000004442.jpg,640,427,35,248,64,281,What is put on the nightstand?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000004499.jpg,500,401,216,83,262,134,What is a sporting item that is thrown and caught by players?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000005724.jpg,559,640,0,422,102,509,What piece of cutlery is used with a knife?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000007298.jpg,640,480,181,278,229,319,What do you wear on your hand to catch a ball?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000007503.jpg,640,495,409,226,427,241,What do we need to hit in the game of tennis?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000007550.jpg,640,485,226,302,239,328,Who can walk?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000007653.jpg,640,509,126,242,492,346,What can I use to sail the sea?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000008005.jpg,640,480,144,291,228,357,What carries fuel for the plane?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000008269.jpg,427,640,160,220,282,268,What do we use for skateboarding?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000008479.jpg,640,503,430,232,460,369,What can protect me from the rain?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000009053.jpg,640,480,303,97,327,126,What thing is tied with a string and can be flown in the air?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000010770.jpg,640,427,1,193,387,332,what is used for text input of information on a computer
https://toloka-cdn.azureedge.net/wsdmcup2023/000000010871.jpg,375,500,62,0,248,165,What do we use to protect our head from cold
https://toloka-cdn.azureedge.net/wsdmcup2023/000000012698.jpg,640,480,428,44,581,135,What do women's use to carry stuff outside ?
