image,width,height,left,top,right,bottom,question
https://toloka-cdn.azureedge.net/wsdmcup2023/000000001093.jpg,500,347,410,172,433,206,Which is different from the group?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000001964.jpg,640,480,166,184,570,367,What do we drive for personal use?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000002473.jpg,640,427,286,218,328,266,What do we use to slide on snow?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000003379.jpg,640,438,212,363,300,392,What is the thing that can give command to the computer
https://toloka-cdn.azureedge.net/wsdmcup2023/000000004175.jpg,640,481,260,190,429,280,what thing denotes the border between two tennis-player?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000004442.jpg,640,427,30,242,93,292,What is put on the nightstand?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000004499.jpg,500,401,216,84,263,135,What is a sporting item that is thrown and caught by players?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000005724.jpg,559,640,0,425,107,505,What piece of cutlery is used with a knife?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000007298.jpg,640,480,181,280,232,319,What do you wear on your hand to catch a ball?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000007503.jpg,640,495,409,226,428,242,What do we need to hit in the game of tennis?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000007550.jpg,640,485,227,302,240,325,Who can walk?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000007653.jpg,640,509,127,245,493,347,What can I use to sail the sea?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000008005.jpg,640,480,144,291,227,359,What carries fuel for the plane?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000008269.jpg,427,640,160,221,284,269,What do we use for skateboarding?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000008479.jpg,640,503,433,233,460,363,What can protect me from the rain?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000009053.jpg,640,480,306,97,329,126,What thing is tied with a string and can be flown in the air?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000010770.jpg,640,427,3,196,386,350,what is used for text input of information on a computer
https://toloka-cdn.azureedge.net/wsdmcup2023/000000010871.jpg,375,500,65,0,250,167,What do we use to protect our head from cold
https://toloka-cdn.azureedge.net/wsdmcup2023/000000012698.jpg,640,480,430,46,580,136,What do women's use to carry stuff outside ?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000013106.jpg,375,500,267,306,289,333,"What accessory you can wear, but can also use to tell the time?"
https://toloka-cdn.azureedge.net/wsdmcup2023/000000014199.jpg,640,480,305,183,382,431,Where do firefighters draw water in case of a fire emergency?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000015090.jpg,640,427,238,182,472,247,Where can we know the road's name?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000016334.jpg,424,640,146,483,424,513,What can I use to cut the cake?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000016684.jpg,640,480,313,343,367,371,Which thing in the park can be used to sit down on it and have some rest?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000017269.jpg,500,326,3,248,120,316,What animal can bark?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000019155.jpg,612,612,332,69,354,113,What makes the refrigerator colder or warmer?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000019714.jpg,415,600,137,272,197,505,What is used to serve a tennis ball?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000021539.jpg,640,480,299,341,361,436,Where can I pour wine to serve a group of people?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000021796.jpg,640,507,353,170,369,187,What do we use to turn on the machine?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000022493.jpg,640,425,42,21,194,356,Where can we understand what a store sells?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000023433.jpg,640,427,232,90,395,416,What animal is a carnivore?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000024375.jpg,640,428,243,155,275,187,What can I use to ski?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000024594.jpg,500,375,396,191,441,228,Where do you place soap while taking a bath?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000024723.jpg,500,375,197,100,297,167,What can we wear to protect our heads?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000024794.jpg,500,490,221,366,239,386,What do we exchange on our wedding engagements?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000025038.jpg,640,383,0,286,272,383,What contains inflammables?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000025695.jpg,640,480,440,197,469,225,Where can we see informations?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000026133.jpg,428,640,290,79,343,198,Which equipment is used to play tennis?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000026511.jpg,640,480,284,50,549,207,What transportation can I use to fly in the sky?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000026518.jpg,640,427,272,238,336,308,What is a water sport with a special board?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000027286.jpg,640,427,277,244,464,427,Where can you seat?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000027387.jpg,640,480,86,315,140,394,What can I eat?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000027549.jpg,640,424,265,128,298,154,What is the girls favorite toy?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000029700.jpg,500,375,286,142,418,188,What do we use to eat this food?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000030409.jpg,640,480,249,152,305,226,What is used for decoring the walls?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000031414.jpg,640,480,163,118,462,412,What likes to hunt mouse?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000031588.jpg,640,480,142,203,374,333,What moves faster than a bicycle?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000031670.jpg,640,480,77,77,104,145,What can i apply on my skin?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000033068.jpg,507,640,190,97,320,124,What tells us where we are?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000033979.jpg,640,209,367,176,459,203,What do we drive to travel?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000034815.jpg,640,427,491,82,534,95,What is used to see the object clearly?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000034869.jpg,640,428,239,109,456,262,What is the brand of donut?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000036905.jpg,640,487,349,268,566,408,What animal has lots of meat?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000037291.jpg,640,480,136,216,406,303,Whats object help us to eat like put food in your month?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000037435.jpg,640,639,427,274,458,344,Where can you put the coin for the parkmeter?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000037519.jpg,640,427,293,14,427,93,What do you hit a tennis ball with?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000037924.jpg,640,481,430,102,547,220,What helps the people driving by to be informed of their surroundings?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000038902.jpg,640,426,617,76,636,133,What is used to control the traffic?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000039151.jpg,640,429,276,246,308,306,What is used to carry our groceries?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000039218.jpg,640,361,290,48,402,104,What can I use to serve a tennis ball?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000039787.jpg,500,333,233,78,258,96,What do we use to protect our heads from injury during games?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000040051.jpg,480,640,217,379,336,626,What is used for pooing and peeing?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000040082.jpg,480,640,316,354,346,390,What can be used to hold toilet paper?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000040225.jpg,640,429,6,34,61,132,What controls traffic?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000041341.jpg,640,416,542,249,555,262,What can roll?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000041753.jpg,640,427,251,187,300,264,What do you use to hold the liquid you drink?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000042585.jpg,640,358,82,258,144,321,What is a condiment that is used to make a dish salty?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000042810.jpg,640,428,330,176,341,214,What does we hit the ball with?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000042837.jpg,500,500,216,137,295,280,Who rides a surfboard?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000042867.jpg,500,315,401,187,423,219,What tick tocks?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000043394.jpg,640,424,514,341,538,391,What is used to protect the ankles?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000043748.jpg,500,375,150,166,224,328,What animal lives in the safari?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000043908.jpg,640,425,238,180,395,356,Where can someone use to urinate?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000044030.jpg,640,480,5,201,25,220,What can we hit in the game of tennis?
https://toloka-cdn.azureedge.net/wsdmcup2023/000000044387.jpg,640,480,381,173,482,196,Which equipment do people use to hit the ball?
